Date, Time, Indices, Previous close, Day Open, Day High, Day Low, LTP/Closing Prices
27-04-2020,09:15:00,Australia ASX All Ordinaries,5300.7,5300.7,5353.5,5283.3,5338.4
27-04-2020,09:15:00,Shanghai SE Composite Index,2808.53,2812.24,2831.22,2802.96,2828.13
27-04-2020,09:15:00,Hang Seng,23831.33,24030.66,24263.87,24030.54,24218.77
27-04-2020,09:15:00,Mumbai Sensex,31327.22,.,.,.,31327.22
27-04-2020,09:15:00,Nikkei 225,19262,19410.84,19695.99,19410.18,19678.87
27-04-2020,09:15:00,Taiwan TSEC 50 Index,10347.36,10407.49,10550.14,10407.49,10541.56
27-04-2020,09:15:00,FTSE 100,5826.61,5826.61,5827.24,5728.8,5752.23
27-04-2020,09:15:00,CAC 40,4451,4387.03,4448.73,4366.09,4393.32
27-04-2020,09:15:00,Swiss Market Index,9625.48,9560,9679.69,9552.35,9625.65
27-04-2020,09:15:00,Euronext 100,877.91,864.73,876.58,862.19,865.8
27-04-2020,09:15:00,DAX,10513.79,10299.31,10486.43,10299.31,10336.09
27-04-2020,09:15:00,Dow Jones Industrial Average,23515.26,23628.24,23826,23417.68,23775.27
27-04-2020,09:15:00,Brazil Bovespa Stock Index,79673.3,79666.62,79666.62,72040.82,75330.61
27-04-2020,09:15:00,Santiago Index IPSA,2591.58,2640.89,2644.89,2592.13,2592.41
27-04-2020,09:15:00,S&P 500 INDEX,2797.8,2812.64,2842.71,2791.76,2836.74
27-04-2020,09:15:00,Canada S&P/TSX 60,861.97,867.16,873.95,862.33,873.14
27-04-2020,09:15:00,IPC,34240.6,34361.02,34773.14,34113.32,34586.82
27-04-2020,16:00:03,Australia ASX All Ordinaries,5300.7,5300.7,5397.7,5283.3,5388.3
27-04-2020,16:00:03,Shanghai SE Composite Index,2808.53,2812.24,2832.67,2802.96,2815.49
27-04-2020,16:00:03,Hang Seng,23831.33,24030.66,24318.81,24030.54,24280.14
27-04-2020,16:00:03,Mumbai Sensex,31327.22,31659.04,32103.7,31651.58,31743.08
27-04-2020,16:00:03,Nikkei 225,19262,19410.84,19819.06,19410.18,19783.22
27-04-2020,16:00:03,Taiwan TSEC 50 Index,10347.36,10407.49,10578.96,10407.49,10567.27
27-04-2020,16:00:03,FTSE 100,5752.23,5752.23,5855.61,5752.23,5839.71
27-04-2020,16:00:03,CAC 40,4393.32,4482.55,4484.33,4459.99,4476.83
27-04-2020,16:00:03,Swiss Market Index,9625.65,9615.02,9784.59,9611.97,9747.02
27-04-2020,16:00:03,Euronext 100,865.8,882.61,884.1,879.85,882.77
27-04-2020,16:00:03,DAX,10336.09,10551.07,10614.95,10527.38,10596.92
27-04-2020,16:00:03,Dow Jones Industrial Average,23515.26,23628.24,23826,23417.68,23775.27
27-04-2020,16:00:03,Brazil Bovespa Stock Index,79673.3,79666.62,79666.62,72040.82,75330.61
27-04-2020,16:00:03,Santiago Index IPSA,3748.49,3748.49,2644.89,2592.13,2592.41
27-04-2020,16:00:03,S&P 500 INDEX,2797.8,2812.64,2842.71,2791.76,2836.74
27-04-2020,16:00:03,Canada S&P/TSX 60,861.97,867.16,873.95,862.33,873.14
27-04-2020,16:00:03,IPC,34240.6,34361.02,34773.14,34113.32,34586.82
28-04-2020,08:00:34,Australia ASX All Ordinaries,5388.3,5388.3,5439.3,5377.9,5392.3
28-04-2020,08:00:34,Shanghai SE Composite Index,2815.49,2819.99,2821.75,2758.25,2781.43
28-04-2020,08:00:34,Hang Seng,24280.14,24401.12,24401.12,24176.88,24269.65
28-04-2020,08:00:34,Mumbai Sensex,31327.22,31659.04,32103.7,31651.58,31743.08
28-04-2020,08:00:34,Nikkei 225,19783.22,19776.18,19841.78,19638.48,19664.32
28-04-2020,08:00:34,Taiwan TSEC 50 Index,10567.27,10580.25,10620.52,10537.71,10557.26
28-04-2020,08:00:34,FTSE 100,5752.23,5752.23,5855.61,5752.23,5846.79
28-04-2020,08:00:34,CAC 40,4393.32,4479.86,4505.26,4448.05,4505.26
28-04-2020,08:00:34,Swiss Market Index,9625.65,9615.02,9784.59,9611.97,9758.82
28-04-2020,08:00:34,Euronext 100,865.8,881.66,886.07,877.83,886.07
28-04-2020,08:00:34,DAX,10336.09,10551.07,10660.36,10527.38,10659.99
28-04-2020,08:00:34,Dow Jones Industrial Average,23775.27,23866.15,24207.65,23840.61,24133.78
28-04-2020,08:00:34,Brazil Bovespa Stock Index,75330.61,75334.28,78562.71,75326.58,78238.6
28-04-2020,08:00:34,Santiago Index IPSA,2592.41,2592.41,2685.44,2592.41,2684.85
28-04-2020,08:00:34,S&P 500 INDEX,2836.74,2854.65,2887.72,2852.89,2878.48
28-04-2020,08:00:34,Canada S&P/TSX 60,873.14,877.44,885.21,871.56,884.53
28-04-2020,08:00:34,IPC,34586.82,34704.84,35058.41,34488.41,34968.09
28-04-2020,16:00:08,Australia ASX All Ordinaries,5388.3,5388.3,5439.3,5340.9,5381.2
28-04-2020,16:00:08,Shanghai SE Composite Index,2815.49,2819.99,2821.75,2758.25,2810.02
28-04-2020,16:00:08,Hang Seng,24280.14,24401.12,24582.66,24176.88,24575.96
28-04-2020,16:00:08,Mumbai Sensex,31743.08,32101.91,32199.91,31661.34,32114.52
28-04-2020,16:00:08,Nikkei 225,19783.22,19776.18,19841.78,19638.48,19771.19
28-04-2020,16:00:08,Taiwan TSEC 50 Index,10567.27,10580.25,10620.52,10537.71,10616.06
28-04-2020,16:00:08,FTSE 100,5846.79,5846.79,5944.21,5835.92,5936.45
28-04-2020,16:00:08,CAC 40,4505.26,4505.75,4582.03,4493.51,4564.64
28-04-2020,16:00:08,Swiss Market Index,9758.82,9787.39,9909.25,9780.95,9901.17
28-04-2020,16:00:08,Euronext 100,886.07,886.56,900.78,884.08,897.94
28-04-2020,16:00:08,DAX,10659.99,10658.47,10876.39,10651.58,10831.1
28-04-2020,16:00:08,Dow Jones Industrial Average,23775.27,23866.15,24207.65,23840.61,24133.78
28-04-2020,16:00:08,Brazil Bovespa Stock Index,75330.61,75334.28,78562.71,75326.58,78238.6
28-04-2020,16:00:08,Santiago Index IPSA,2592.41,2592.41,2685.44,2592.41,2684.85
28-04-2020,16:00:08,S&P 500 INDEX,2836.74,2854.65,2887.72,2852.89,2878.48
28-04-2020,16:00:08,Canada S&P/TSX 60,873.14,877.44,885.21,871.56,884.53
28-04-2020,16:00:08,IPC,34586.82,34704.84,35058.41,34488.41,34968.09
29-04-2020,08:00:05,Australia ASX All Ordinaries,5381.2,5381.2,5451.6,5381.2,5450.1
29-04-2020,08:00:05,Shanghai SE Composite Index,2810.02,2801.38,2826.66,2800.74,2825.73
29-04-2020,08:00:05,Hang Seng,24575.96,24786.02,24855.47,24655.08,24693.58
29-04-2020,08:00:05,Mumbai Sensex,31743.08,32101.91,32199.91,31661.34,32114.52
29-04-2020,08:00:05,Nikkei 225,19783.22,19776.18,19841.78,19638.48,19771.19
29-04-2020,08:00:05,Taiwan TSEC 50 Index,10616.06,10656.4,10777.44,10656.4,10750.82
29-04-2020,11:04:11,FTSE 100,5846.79,5846.79,5977.76,5835.92,5958.5
29-04-2020,11:04:11,CAC 40,4505.26,4507.42,4601.94,4493.51,4569.79
29-04-2020,11:04:11,Swiss Market Index,9758.82,9787.39,9948.84,9780.95,9889.46
29-04-2020,11:04:11,Euronext 100,886.07,886.9,904.73,884.06,900.85
29-04-2020,11:04:11,DAX,10659.99,10658.47,10897.82,10651.58,10795.63
